State,Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,Alcohol use among youth,Arthritis among adults aged >= 18 years,Binge drinking prevalence among adults aged >= 18 years,Binge drinking prevalence among youth,Cholesterol screening among adults aged >= 18 years,Computer use among high school students,Current asthma prevalence among adults aged >= 18 years,Current cigarette smoking among youth,Current lack of health insurance among adults aged 18-64 years,Current smokeless tobacco use among adults aged >= 18 years,Current smokeless tobacco use among youth,Current smoking among adults aged >= 18 years,Disability among adults aged >= 65 years,Healthy weight among adults aged >= 18 years,Heavy drinking among adults aged >= 18 years,High cholesterol prevalence among adults aged >= 18 years,High school completion among adults aged 18-24 years,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,Influenza vaccination among noninstitutionalized adults aged >= 18 years,Meeting aerobic physical activity guidelines among high school students,No leisure-time physical activity among adults aged >= 18 years,Obesity among adults aged >= 18 years,Obesity among high school students,Overweight or obesity among adults aged >= 18 years,Overweight or obesity among high school students,Poverty,Prevalence of diagnosed diabetes among adults aged >= 18 years,Total Population,Total Male Population,Total Female Population,Median Age,Males Per 100 Females,Total Violent Crime,"Violent Crime Rate per 100,000"
ID,48,28.3,25.3,14.1,15.6,77.5,33.7,9.1,9.7,17.3,5.3,8.3,13.8,37,32.9,5.3,37.6,86,0.964,5.14,35.8,29.6,21.2,28.6,11.1,65.2,26.4,15.1,8.1,1657375,830627,826748,35.9,100.5,3876,230.7
IL,46.5,30.7,23.3,20.2,15.9,81.7,36.9,8.4,10.1,11,3.1,5.6,15.1,33.6,32.4,6.2,36,87.5,1.911,5.44,36.9,26.8,24.8,30.8,12.6,66.2,28,13.6,9.9,12854526,6312600,6541926,37.7,96.5,56054,436.7
HI,42.2,25.1,18.9,18.9,13.4,76.9,40.6,10,9.7,8.7,2.3,,14.1,33,40.8,7.7,36.3,93.7,1.471,5.19,41.4,20.3,22.5,22.7,12.9,57,28.3,10.6,8.5,1421658,713981,707677,38.8,100.9,3452,241.6
US,49,32.8,25.3,16.3,17.7,81.5,41.7,9.2,10.8,13,4.1,7.3,17.5,35.4,32.7,5.9,36.3,86.5,1.968,6.42,42,27.1,26.2,29.8,13.9,65.5,29.9,14.7,9.9,,,,,,,
AL,56.7,30.7,33.3,11.6,16.1,82.9,38.2,9.9,14,16.3,6,12.5,21.4,41.4,28.9,4.8,42,84.8,1.996,6.47,40.7,25.4,31.9,35.6,16.1,68.7,33.6,18.5,13.5,4850771,2350806,2499965,38.7,94,25878,532.4
AK,51.2,22,21.2,20.3,12.5,75.5,34.3,9.2,11.1,17,6.4,11.7,19.1,39.6,31.8,8.6,33.9,85,0.738,2.86,35.6,20.9,22,29.8,14,67.2,30.8,10.3,7.6,738565,386319,352246,33.9,109.7,5966,804.6
AZ,52.1,34.8,23.6,14.2,19,80.5,40.5,9.3,10.1,17.4,2.7,6.2,14,34.9,32.6,5.2,37.3,83,1.392,7.14,33.8,26,24.7,28.4,10.9,65.3,25.6,17.4,10.1,6809946,3385055,3424891,37.2,98.8,32542,471
AR,57,27.6,29.7,14.1,16.3,80.3,41.2,10.1,15.7,15.1,6.2,10.6,24.9,42.3,28.2,5.3,41.3,87.2,1.81,6.74,42,28.6,34.2,34.5,18,69.5,36.1,19.1,12.6,2977944,1461651,1516293,37.9,96.4,16563,554.3
CA,49.6,28.9,20,16.5,15.1,80.5,42.1,7.7,7.7,13.4,1.6,3,11.7,35.3,38,5.7,34.2,87.6,1.74,6.42,37.6,25.3,20,24.2,13.9,60.3,30.4,15.3,10,38982847,19366579,19616268,36.1,98.7,174796,444.8
CO,48.4,,22.7,17.6,,81.8,,9,,12.9,4.1,,15.6,32.7,41.2,5.9,31.5,86.6,1.179,6.57,44.7,,17.9,20.2,,56.6,,11.5,6.8,5436519,2731315,2705204,36.5,101,19030,344.1
