five_digit_FIPS_code,Total People with Insurance
72047,34694
72095,11292
72111,21632
72113,146078
72131,38822
72135,74019
72137,81704
72147,8931
72151,34966
72003,39421
72025,133655
72029,46662
72041,41064
72043,39758
72051,37634
72089,18843
72019,29133
72107,21814
72129,38629
72011,27814
72037,12228
72039,17307
72045,19914
72071,43044
72073,15044
72081,27107
72085,38212
72119,50995
72127,351733
72143,37769
72145,54577
72093,6180
72009,23970
72059,19509
72077,39645
72079,23846
72121,23499
72001,18473
72027,32852
72055,17308
72067,16454
72091,40567
72103,26547
72105,29060
72125,32844
72141,30189
72013,88560
72015,18491
72033,25563
72054,12122
72065,40942
72069,54361
72075,47661
72101,31762
72097,79055
72133,22475
72139,69192
72115,24541
72057,40427
72099,37463
72049,1494
72063,46896
72123,29074
72017,24556
72087,27209
72153,37382
72061,90432
72005,54072
72023,49581
72053,32887
72083,8799
72109,17769
72117,14486
72149,23477
72007,26739
72021,182918
72031,160992
72035,45377
01099,21518
01079,33050
01081,154952
01093,29540
01107,18987
01119,12946
01073,652283
01023,13060
01059,31272
01091,19526
01113,56790
01019,25561
01039,36970
01041,13666
01047,40454
01077,91721
01085,10268
01087,19141
01083,88681
01117,207053
01115,85000
01133,23646
01003,200929
01043,80867
01051,75789
01069,103300
01071,51817
01121,77941
01125,202930
01129,16621
01027,13153
01031,49425
01103,117243
01109,33081
01021,43473
01033,53993
01037,10563
01045,46471
01065,14762
01055,102339
01049,70448
01053,34883
01075,13856
01111,22276
01013,19832
01097,406941
01035,12603
01105,9532
01127,64196
01029,14758
01063,8480
01005,23326
01007,20553
01011,10113
01015,113964
01017,33513
01025,24341
01057,16468
01101,222268
01095,93913
01009,57207
01067,16828
01089,348398
01001,54170
01123,40211
01061,26211
01131,10621
02150,13196
02068,2269
02261,9174
02122,56797
02016,5588
02060,902
02188,7689
02050,17659
02185,9677
02220,8631
02090,92924
02130,13474
02170,99208
02282,682
02180,9649
02070,4956
02100,2531
02110,31791
02164,1301
02240,6780
02290,5425
02020,286906
02013,3333
02198,6473
02275,2458
02105,2141
02230,1038
02195,3263
02158,8123
04019,987178
04013,4125142
04007,52401
04009,33658
04023,46024
04003,115099
04012,20309
04015,200916
04001,70807
04005,137820
04025,219401
04027,197418
04011,9325
04017,105552
04021,380940
05145,78113
05099,8360
05123,23288
05119,386754
05021,15054
05037,16940
05039,6944
05043,18211
05027,23566
05121,17157
05125,115077
05141,16559
05009,36790
05065,12641
05063,36603
05079,9086
05083,21550
05053,17909
05035,48739
05047,17492
05045,120096
05109,10747
05069,66984
05089,16244
05097,8922
05127,10518
05129,7837
05131,126347
05033,61510
05007,250348
05017,10332
05059,31439
05071,25958
05077,7998
05087,15829
05041,12026
05049,11923
05061,13296
05051,96780
05093,42774
05115,62737
05117,8175
05139,39634
05147,6646
05023,25022
05025,8229
05067,14320
05057,21909
05135,16863
05137,12342
05143,221806
05055,43711
05005,40681
05003,20610
05031,103216
05073,6918
05105,10209
05149,21293
05107,19349
05111,23782
05133,17064
05013,5136
05019,22138
05011,10901
05075,16483
05095,7346
05113,20081
05029,20821
05103,23997
05101,7835
05001,18112
05081,12333
05085,69999
05015,27564
05091,42566
06049,8784
06047,264519
06033,63433
06043,17489
06115,72464
06013,1118246
06027,17785
06035,21739
06099,532471
06083,435899
06097,496690
06103,62714
06025,170512
06051,13968
06069,58511
06001,1619367
06067,1480422
06017,183777
06055,139208
06073,3186685
06053,416786
06075,859959
06091,2858
06107,454868
06113,211123
06023,134525
06057,97938
06003,1203
06039,146644
06045,86720
06087,271860
06105,12863
06037,10038224
06065,2333253
06071,2070914
06085,1902184
06041,256100
06061,372281
06093,43402
06089,177505
06095,422306
06015,24226
06011,21299
06021,27636
06007,222635
06031,132483
06063,18571
06079,273626
06019,960471
06029,850055
06059,3139021
06111,841387
06009,44675
06101,94357
06081,759448
06109,50891
06077,715502
06005,33587
08023,3628
08001,484371
08021,8109
08027,4492
08035,319951
08037,53658
08065,7426
08067,54008
08081,12930
08097,17692
08105,11236
08017,2086
08011,3880
08025,4246
08033,1736
08111,569
08057,1367
08069,328531
08075,21357
08083,25595
08113,7778
08119,23535
08125,9967
08013,314665
08039,24469
08071,13582
08073,3517
08019,9149
08107,24223
08117,29644
08003,15903
08029,29167
08043,35935
08101,159796
08085,40539
08087,27764
08093,16780
08109,6320
08077,147646
08099,11900
08053,820
08041,642935
08121,4521
08049,14734
08005,620873
08089,18138
08095,4253
08007,12489
08031,672437
08061,1343
08055,6348
08009,3479
08015,17649
08047,5744
08063,7123
08045,57305
08051,16170
08059,557612
08079,834
08091,4653
08103,6445
08115,2327
08123,283372
09009,851682
09005,183145
09003,883429
09015,114975
